CLASSIFICAÇÃO SETORIAL DAS EMPRESAS NEGOCIADAS NA B3;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
SETOR ECONÔMICO;SUBSETOR;SEGMENTO;LISTAGEM;;;
;;;CÓDIGO;SEGMENTO;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;;;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;3R PETROLEUM;RRRP;NM             ;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;COSAN       ;CSAN;NM             ;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;DOMMO;DMMO;;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;ENAUTA PART;ENAT;NM             ;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;PET MANGUINH;RPMG;;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;PETROBRAS   ;PETR;N2;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;PETROBRAS BR;BRDT;NM             ;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;PETRORIO;PRIO;NM             ;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;ULTRAPAR    ;UGPA;NM             ;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;;;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;LUPATECH    ;LUPA;NM             ;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;OSX BRASIL  ;OSXB;NM             ;;
;;;;;;
SETOR ECONÔMICO;SUBSETOR;SEGMENTO;LISTAGEM;;;
;;;CÓDIGO;SEGMENTO;;
Materiais Básicos;Mineração;Minerais Metálicos;;;;
Materiais Básicos;Mineração;BRADESPAR   ;BRAP;N1             ;;
Materiais Básicos;Mineração;LITEL       ;LTEL;MB             ;;
Materiais Básicos;Mineração;LITELA;LTLA;MB             ;;
Materiais Básicos;Mineração;MMX MINER   ;MMXM;NM             ;;
Materiais Básicos;Mineração;VALE        ;VALE;NM             ;;
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;;;;
Materiais Básicos;Siderurgia e Metalurgia;FERBASA     ;FESA;N1             ;;
Materiais Básicos;Siderurgia e Metalurgia;GERDAU      ;GGBR;N1             ;;
Materiais Básicos;Siderurgia e Metalurgia;GERDAU MET  ;GOAU;N1             ;;
Materiais Básicos;Siderurgia e Metalurgia;SID NACIONAL;CSNA;;;
Materiais Básicos;Siderurgia e Metalurgia;USIMINAS    ;USIM;N1             ;;
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;;;;
Materiais Básicos;Siderurgia e Metalurgia;MANGELS INDL;MGEL;;;
Materiais Básicos;Siderurgia e Metalurgia;PANATLANTICA;PATI;;;
Materiais Básicos;Siderurgia e Metalurgia;TEKNO       ;TKNO;;;
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Cobre;;;;
Materiais Básicos;Siderurgia e Metalurgia;PARANAPANEMA;PMAM;NM             ;;
Materiais Básicos;Químicos;Petroquímicos;;;;
Materiais Básicos;Químicos;BRASKEM     ;BRKM;N1             ;;
Materiais Básicos;Químicos;GPC PART    ;GPCP;;;
Materiais Básicos;Químicos;Fertilizantes e Defensivos;;;;
Materiais Básicos;Químicos;FER HERINGER;FHER;NM             ;;
Materiais Básicos;Químicos;NUTRIPLANT  ;NUTR;MA             ;;
